test_runner,mode,package_builder,test_elapsed_seconds,test_rss_bytes,build_elapsed_seconds,build_rss_bytes,elapsed_seconds,test_rss_mib,build_rss_mib,pipeline_peak_mib
nox,serial,conda-build (libmamba),337.877277,1899839488,110.554727,2488172544,448.43200475000776,1811.828125,2372.90625,2372.90625
nox,serial,conda-build (rattler),334.243620,1884012544,93.600534,2803367936,427.84415474999696,1796.734375,2673.5,2673.5
nox,serial,rattler-build,337.285995,1851899904,8.956215,141967360,346.24220945800334,1766.109375,135.390625,1766.109375
nox,logical,conda-build (libmamba),138.524344,2001551360,96.865383,2613460992,235.38972708299843,1908.828125,2492.390625,2492.390625
nox,logical,conda-build (rattler),143.709063,1927675904,91.718522,2702360576,235.42758574999607,1838.375,2577.171875,2577.171875
nox,logical,rattler-build,137.379949,1817411584,9.684523,134021120,147.06447166800353,1733.21875,127.8125,1733.21875
pixi,serial,conda-build (libmamba),266.804601,216219648,99.922161,3062988800,366.7267619159975,206.203125,2921.09375,2921.09375
pixi,serial,conda-build (rattler),261.229319,227590144,87.372573,3029254144,348.60189195800194,217.046875,2888.921875,2888.921875
pixi,serial,rattler-build,257.586569,227901440,8.817256,143671296,266.40382520699495,217.34375,137.015625,217.34375
pixi,logical,conda-build (libmamba),58.101523,211058688,96.781307,2742419456,154.8828302500042,201.28125,2615.375,2615.375
pixi,logical,conda-build (rattler),63.684627,220987392,85.493264,2473476096,149.17789016599272,210.75,2358.890625,2358.890625
pixi,logical,rattler-build,62.209195,200359936,9.643853,137674752,71.85304816700227,191.078125,131.296875,191.078125
